unique,artist,title,month_year_top,instruments,intended_reaction,volume,services,translations,simplicity,monthly_listeners,merch_sold,tickets_sold,duration_listene,views_song,articles,speed,lyrical_tone,lyrical_tone.1,year,common_genre,intended_age,awards_won,billboard_hot_100,music_video_4
TPS101,Metro Boomin The Weeknd & 21 Savage,Creepin',44896,5,3,-6,3,10,2,50,400000,400000,3,300000000,15,98,3,4,2022,3,15,0,7,0
TPS102,Justin TImberlake,Can't Stop The Feeling,42491,7,1,-6,5,11,1,28,300000,500000,4,700000000,30,113,9,9,2016,2,18,0,5,1
TPS103,The Chainsmokers & Halsey,Closer,42583,5,6,-6,3,12,1,35,400000,500000,3,2000000000,20,95,4,5,2016,10,15,0,8,0
TPS104,Dua Lipa,Don't Start Now,43770,5,5,-5,4,13,1,71,600000,700000,3,1300000000,40,124,6,7,2019,2,18,0,7,0
TPS105,Mario Winans Enya & P Diddy,I Don't Wanna Know,38018,7,4,-8,5,8,2,3,50000,100000,3,100000000,5,97,2,2,2004,1,20,0,5,1
TPS106,Beyonce & Jay-Z,Crazy In Love,37742,7,3,-7,5,12,1,47,500000,1200000,3,500000000,30,99,7,8,2003,3,18,1,7,1
TPS107,Luke Combs,Fast Car,44986,8,3,-6,3,7,1,35,300000,800000,3,300000000,15,98,7,4,2023,12,18,0,6,0
TPS108,Matchbox Twenty,Bent,36617,6,9,-7,3,7,2,12,150000,200000,3,200000000,10,95,3,6,2000,5,15,0,6,0
TPS109,Gorillaz,Feel Good Inc,38443,8,5,-7,3,12,3,24,100000,200000,4,600000000,15,139,4,3,2005,5,15,0,7,1
TPS110,Maroon 5 & Carti B,Girls Like You,43252,7,3,-8,4,12,1,47,400000,300000,4,1500000000,10,125,3,6,2018,2,15,0,7,0
TPS111,Imagine Dragons,Radioactive,41122,9,4,-4,2,11,2,59,600000,1000000,4,1800000000,30,136,4,7,2012,5,18,0,8,1
TPS112,Lil' Jon & The East Side Boyz,Get Low,37742,6,1,-7,3,9,1,7,60000,100000,3,400000000,5,101,8,7,2003,3,18,0,7,0
TPS113,Staind,It's Been Awhile,36982,9,7,-4,3,7,2,4,70000,100000,4,200000000,5,117,3,4,2001,5,15,0,6,0
TPS114,Ashanti,Foolish,37288,6,5,-6,4,8,1,8,80000,100000,3,200000000,10,90,3,4,2002,1,20,0,9,0
TPS115,Beyonce ,Baby Boy,37834,6,2,-9,3,10,1,47,500000,1200000,4,300000000,30,91,6,6,2003,1,18,0,8,1
TPS116,Usher,Burn,38047,7,4,-7,1,9,1,20,300000,500000,4,300000000,30,120,3,3,2004,1,15,0,8,0
TPS117,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),43374,6,4,-4,1,11,2,59,600000,400000,4,1700000000,20,90,3,4,2018,3,18,0,9,0
TPS118,Avicii,Wake Me Up,41426,6,6,-6,1,13,3,46,300000,400000,4,2000000000,15,124,5,3,2013,13,15,0,6,1
TPS119,Lil Nas X & Jack Harlow,Industry Baby,44378,5,3,-7,5,11,1,53,500000,300000,3,1600000000,15,150,7,6,2021,3,15,0,7,0
TPS120,Nelly ,Hot in Herre,37377,4,1,-5,3,9,1,14,200000,200000,4,200000000,20,107,8,7,2002,3,18,0,7,0
TPS121,Tate McRae ,Greedy ,45170,8,3,-3,3,6,2,25,200000,200000,3,300000000,10,111,5,5,2023,2,18,0,5,0
TPS122,Green Day ,Boulevard of Broken Dreams,38292,9,8,-4,3,10,2,25,400000,600000,3,600000000,30,167,2,4,2004,5,15,0,8,1
TPS123,Destiny's Child ,Say My Name ,36526,6,2,-5,4,12,1,11,100000,200000,4,500000000,10,138,3,3,2000,1,18,1,7,0
TPS 124,Alicia Keys ,If I Ain't Got You ,38047,7,6,-9,3,10,1,24,100000,200000,4,500000000,15,118,6,4,2004,1,18,1,7,0
TPS125,DaBaby & Roddy Ricch,Rockstar ,43922,4,2,-6,4,9,1,30,300000,400000,3,400000000,20,90,6,6,2020,3,18,0,8,1
TPS126,Maroon 5,She Will Be Loved ,38169,3,8,-6,7,12,2,47,400000,700000,3,600000000,50,102,5,4,2004,2,18,0,8,0
TPS127,Justin Timberlake ,SexyBack ,38899,5,1,-6,7,11,1,38,300000,500000,4,700000000,30,117,9,6,2006,2,18,1,7,1
TPS128,Jason Mraz,I am yours ,39569,3,8,-9,2,12,1,16,80000,100000,3,200000000,10,151,8,3,2008,2,15,0,6,0
TPS129,Sam Smith & Kim Petras ,Unholy ,44805,5,3,-7,4,10,1,56,200000,300000,3,600000000,15,131,4,6,2022,2,15,0,5,0
TPS130,Macklemore & Ryan Lewis ,Can't Hold Us ,41275,9,5,-4,5,11,1,22,150000,300000,3,500000000,10,146,8,7,2013,3,1,1,8,1
TPS131,Shaggy ,Angel ,36861,3,4,-3,7,8,1,21,60000,100000,4,500000000,10,171,7,4,2000,8,18,0,7,0
TPS132,Shakira ,Whenever Wherever ,37165,5,3,-5,6,12,1,36,200000,400000,2,1800000000,25,108,8,9,2001,2,15,0,8,0
TPS133,Brenda Lee ,Rockin' Around The Christmas Tree,39417,7,1,-9,8,7,1,10,30000,100000,3,100000000,2,67,10,6,2007,2,18,0,6,0
TPS134,Lonestar ,Amazed ,36526,5,6,-9,7,6,2,4,50000,100000,3,300000000,5,140,8,4,2000,12,18,0,7,0
TPS135,Carly Rae Jepsen ,Call Me Maybe,40848,7,2,-7,5,11,1,14,100000,150000,3,1000000000,10,120,8,6,2011,2,18,0,9,0
TPS136,Chris Brown & Juelz Santana ,Run It ,38565,5,2,-7,1,8,1,20,100000,200000,4,200000000,15,101,7,7,2005,1,15,0,5,0
TPS137,Snoop Dog & Pharrel Williams ,Drop It Like It's Hot ,38261,5,1,-4,4,10,1,40,300000,400000,4,600000000,15,92,6,6,2004,3,18,0,7,0
TPS138,Nickelback ,Someday ,37834,10,6,-6,2,9,2,18,200000,400000,3,300000000,25,163,4,7,2003,5,18,0,6,0
TPS139,Doja Cat ,Paint The Town Red ,45139,5,2,-9,3,6,1,69,400000,500000,4,600000000,30,100,8,7,2023,3,18,0,8,0
TPS140,Gnarls Barkley ,Crazy ,38808,7,3,-2,2,11,1,8,70000,100000,3,1200000000,5,112,4,6,2006,11,20,0,8,0
TPS141,Dido,White Flag ,37865,8,8,-7,2,8,3,7,60000,100000,4,500000000,5,170,3,3,2003,2,15,0,7,1
